profile_id,current_source,target_fragment,role,status,selectable,pipeline,inheritance_parent,inheritance_depth,target_store,active_consumers,test_consumers,supported_runners,related_issue,retirement,contract_status,semantic_hash,owning_issue,migration_status
project_cz_paleo,config.yml,Configuration/Profiles/Validation/cz_smoke.yml,smoke,active,TRUE,paleo_smoke,default,0,Data/targets/cz_paleo,R/01_Data_processing/Traits/_archive/02_Classify_and_align_taxa.R;R/01_Data_processing/Traits/_archive/03_Build_trait_table.R;R/02_Main_analyses/Run_CZ_test.R;R/03_Supplementary_analyses/_Diagnostics/age_scalling/run_cz_decomposition_age_main_diagnostic.R;R/03_Supplementary_analyses/_Diagnostics/age_scalling/run_cz_decomposition_age_z_diagnostic.R;R/03_Supplementary_analyses/_Diagnostics/age_scalling/run_cz_decomposition_diagnostic.R;R/03_Supplementary_analyses/_Diagnostics/Evaluate_resolution_pipeline.R;R/03_Supplementary_analyses/_Diagnostics/Example_sjSDM_one_timeslice.R;R/03_Supplementary_analyses/Age_uncertainty_exploration_2026-05-04.R;R/03_Supplementary_analyses/Prediction/Predict_from_model.R;R/Functions/Modelling/Decomposition_diagnostics/refresh_cz_decomposition_upstream.R;R/Functions/Utility/Paths_and_stores/get_scale_id_from_store.R;R/Functions/Utility/Pipeline/monitor_pipeline_progress.R;R/Pipelines/pipeline_paleo_resolution_test.R,R/03_Supplementary_analyses/Testing/testthat/test-get_config_value_with_fallback.R;R/03_Supplementary_analyses/Testing/testthat/test-issue138-representative-validation.R;R/03_Supplementary_analyses/Testing/testthat/test-monitor_pipeline_progress.R;R/03_Supplementary_analyses/Testing/testthat/test-validate_config_profile_selection.R,R/02_Main_analyses/Run_CZ_test.R,,NA,frozen_issue_141,d25fdf0c0f63384e0982312ba725e1945c4a9b2f346976b48a2c9910db024ee6,#151,modular_source_created
project_cz_modern,config.yml,Configuration/Profiles/Validation/cz_smoke.yml,smoke,active,TRUE,modern_spatial_smoke,default,0,Data/targets/cz_modern,R/02_Main_analyses/Run_CZ_test.R,R/03_Supplementary_analyses/Testing/testthat/test-issue138-representative-validation.R,R/02_Main_analyses/Run_CZ_test.R,,NA,frozen_issue_141,5404c4db610cf7f7486c187a3a86a5d5042be21b267297ecbd01bbed75e12477,#151,modular_source_created
project_cz_paleo_cv_reference,config.yml,Configuration/Profiles/References/cross_validation.yml,reference,frozen,FALSE,paleo_core_cv,project_cz_paleo,1,Data/targets/cz_paleo_cv_reference,R/02_Main_analyses/Run_CZ_paleo_cv_reference.R,R/03_Supplementary_analyses/Testing/testthat/test-cz_paleo_cv_reference.R;R/03_Supplementary_analyses/Testing/testthat/test-validate_config_profile_selection.R,R/02_Main_analyses/Run_CZ_paleo_cv_reference.R,#139,Retain while Issue 141 contract validation uses this reference.,frozen_issue_141,4dab24afcead5e1ce0a80853789a4d1490e9361b43b38ce13764df758083567c,#151,modular_source_created
project_cz_paleo_cv_reference_gpu,config.yml,Configuration/Profiles/References/cross_validation.yml,reference,frozen,FALSE,paleo_core_cv,project_cz_paleo_cv_reference,2,Data/targets/cz_paleo_cv_reference_gpu,R/02_Main_analyses/Run_CZ_paleo_cv_reference_gpu.R,R/03_Supplementary_analyses/Testing/testthat/test-cz_paleo_cv_reference_gpu.R;R/03_Supplementary_analyses/Testing/testthat/test-cz_paleo_cv_staged_reference_gpu.R,R/02_Main_analyses/Run_CZ_paleo_cv_reference_gpu.R,#139,Retain while Issue 141 contract validation uses this reference.,frozen_issue_141,d4ffe2d045c8a713d981672ec301ff04ab0aeef8283802798e4b201f44db6b6f,#151,modular_source_created
project_cz_paleo_cv_staged_reference_gpu,config.yml,Configuration/Profiles/References/cross_validation.yml,reference,frozen,FALSE,paleo_core_cv,project_cz_paleo_cv_reference_gpu,3,Data/targets/cz_paleo_cv_staged_reference_gpu,R/02_Main_analyses/Run_CZ_paleo_cv_staged_reference_gpu.R,R/03_Supplementary_analyses/Testing/testthat/test-cz_paleo_cv_staged_reference_gpu.R,R/02_Main_analyses/Run_CZ_paleo_cv_staged_reference_gpu.R,#138,Retain while Issue 141 contract validation uses this reference.,frozen_issue_141,30fae1551cf6d91155ed61f1dc99fea8556ffeae2134c3530157070a301af94d,#151,modular_source_created
project_cz_paleo_cv_component_reference_gpu,config.yml,Configuration/Profiles/References/cross_validation.yml,reference,frozen,FALSE,paleo_cv_component_reference,project_cz_paleo_cv_reference_gpu,3,Data/targets/cz_paleo_cv_component_reference_gpu,R/02_Main_analyses/Run_CZ_paleo_cv_component_reference_gpu.R,R/03_Supplementary_analyses/Testing/testthat/test-cz-paleo-cv-component-reference-contract.R,R/02_Main_analyses/Run_CZ_paleo_cv_component_reference_gpu.R,#139,Retain while Issue 141 contract validation uses this reference.,frozen_issue_141,ccf67a194e1bb3cc52a1f7042211910b26a24b7601437fc9acba1f386942ec2c,#151,modular_source_created
project_cz_paleo_cv_regularization_reference_gpu,config.yml,Configuration/Profiles/References/cross_validation.yml,reference,frozen,FALSE,paleo_cv_regularization_reference,project_cz_paleo_cv_reference_gpu,3,Data/targets/cz_paleo_cv_regularization_reference_gpu,R/02_Main_analyses/Run_CZ_paleo_cv_regularization_reference_gpu.R,R/03_Supplementary_analyses/Testing/testthat/test-cz-paleo-cv-regularization-reference-contract.R,R/02_Main_analyses/Run_CZ_paleo_cv_regularization_reference_gpu.R,#139,Retain while Issue 141 contract validation uses this reference.,frozen_issue_141,13188f1af0bfc64413f0146e111c9c8491c984033728f4b30d42899570f7b2a5,#151,modular_source_created
project_paleo_local_cv_scientific_reference_gpu,config.yml,Configuration/Profiles/References/cross_validation.yml,reference,frozen,FALSE,paleo_local_cv,project_paleo_spatial_local,1,Data/targets/paleo_local_cv_scientific_reference_gpu,R/02_Main_analyses/Run_paleo_local_cv_scientific_reference_gpu.R,R/03_Supplementary_analyses/Testing/testthat/test-paleo-local-cv-scientific-reference-contract.R,R/02_Main_analyses/Run_paleo_local_cv_scientific_reference_gpu.R,#141,Retain while Issue 141 contract validation uses this reference.,frozen_issue_141,145456f0cceffac9de9ae37cc1bd19548ba4d24228cf20f4368f1138e2408ae8,#151,modular_source_created
project_paleo_local_cv_decomposition_reference_gpu,config.yml,Configuration/Profiles/References/cross_validation.yml,reference,frozen,FALSE,paleo_local_cv_decomposition,project_paleo_local_cv_scientific_reference_gpu,2,Data/targets/paleo_local_cv_decomposition_reference_gpu,R/02_Main_analyses/Run_paleo_local_cv_decomposition_reference_gpu.R,R/03_Supplementary_analyses/Testing/testthat/test-paleo-local-cv-decomposition-reference-contract.R,R/02_Main_analyses/Run_paleo_local_cv_decomposition_reference_gpu.R,#141,Retain while Issue 141 contract validation uses this reference.,frozen_issue_141,f4aea10166c561288dabfcf02e73a77e6c3de3067d4f62076069afb85659f5bf,#151,modular_source_created
project_traits_reference,config.yml,Configuration/Profiles/References/traits.yml,reference,frozen,FALSE,traits,default,0,Data/targets/traits_reference,R/01_Data_processing/Traits/Run_trait_analyses.R;R/03_Supplementary_analyses/_Diagnostics/Analyse_ft_taxonomic_coherence.R;R/Functions/Utility/Config/get_config_value_with_fallback.R;R/Pipelines/_pipes/_helpers/make_pipe_segment_ft_classification_continental.R;R/Pipelines/_pipes/pipe_segment_traits_ft_clustering.R,R/03_Supplementary_analyses/Testing/testthat/test-get_config_value_with_fallback.R,R/01_Data_processing/Traits/Run_trait_analyses.R,,Retain while the functional-trait reference pipeline is supported.,internal_reference,ec4810044c8e3ff0549f33bf35e311471d570aecc8c79bc3b59a75810b540e6b,#151,modular_source_created
project_issue138_paleo_spatial_continental_europe_staged,config.yml,Configuration/Profiles/One_time/Issues/issue_138.yml,one_time,frozen,FALSE,issue_138_paleo_spatial,project_paleo_spatial_continental,1,Data/targets/issue138_validation/paleo_continental_europe,R/02_Main_analyses/Run_issue138_paleo_continental_europe_staged.R,R/03_Supplementary_analyses/Testing/testthat/test-issue138-representative-validation.R;R/03_Supplementary_analyses/Testing/testthat/test-run_issue138_representative_validation.R;R/03_Supplementary_analyses/Testing/testthat/test-validate_config_profile_selection.R,R/02_Main_analyses/Run_issue138_paleo_continental_europe_staged.R,#138,Archive only after Issue 141 no longer requires Issue 138 benchmark reproduction.,frozen_issue_141,176d4403ef8077ba50e4b23d374afefcb73cd6061b7e13f28906e66a51bebd0c,#151,modular_source_created
project_issue138_modern_spatial_continental_europe_staged,config.yml,Configuration/Profiles/One_time/Issues/issue_138.yml,one_time,frozen,FALSE,issue_138_modern_spatial,project_modern_spatial_continental,1,Data/targets/issue138_validation/modern_continental_europe,R/02_Main_analyses/Run_issue138_modern_continental_europe_staged.R,R/03_Supplementary_analyses/Testing/testthat/test-issue138-representative-validation.R,R/02_Main_analyses/Run_issue138_modern_continental_europe_staged.R,#138,Archive only after Issue 141 no longer requires Issue 138 benchmark reproduction.,frozen_issue_141,e6044f7ea505ba0b1a9b5075224bdd079019aba80a81f0ba3c354c4ec221268b,#151,modular_source_created
project_paleo_temporal_issue138_europe_staged,config.yml,Configuration/Profiles/One_time/Issues/issue_138.yml,one_time,frozen,FALSE,issue_138_paleo_temporal,project_paleo_temporal_europe,1,Data/targets/issue138_validation/temporal_europe_6500,R/02_Main_analyses/Run_issue138_temporal_europe_staged.R,R/03_Supplementary_analyses/Testing/testthat/test-issue138-representative-validation.R,R/02_Main_analyses/Run_issue138_temporal_europe_staged.R,#138,Archive only after Issue 141 no longer requires Issue 138 benchmark reproduction.,frozen_issue_141,07a1c80aae8b8ae4d5f65262cce9b5b948753573bf2bfa021ba62f58a6f67819,#151,modular_source_created
project_paleo_temporal_issue138_america_staged,config.yml,Configuration/Profiles/One_time/Issues/issue_138.yml,one_time,frozen,FALSE,issue_138_paleo_temporal,project_paleo_temporal_america,1,Data/targets/issue138_validation/temporal_america_6500,R/02_Main_analyses/Run_issue138_temporal_america_staged.R,R/03_Supplementary_analyses/Testing/testthat/test-issue138-representative-validation.R,R/02_Main_analyses/Run_issue138_temporal_america_staged.R,#138,Archive only after Issue 141 no longer requires Issue 138 benchmark reproduction.,frozen_issue_141,0d5c5135d09ef6d306f2e69df9e4cad18aa1c3c7cc20a0799e28b11c98909832,#151,modular_source_created
project_paleo_temporal_issue138_asia_staged,config.yml,Configuration/Profiles/One_time/Issues/issue_138.yml,one_time,frozen,FALSE,issue_138_paleo_temporal,project_paleo_temporal_asia,1,Data/targets/issue138_validation/temporal_asia_6500,R/02_Main_analyses/Run_issue138_temporal_asia_staged.R,R/03_Supplementary_analyses/Testing/testthat/test-issue138-representative-validation.R,R/02_Main_analyses/Run_issue138_temporal_asia_staged.R,#138,Archive only after Issue 141 no longer requires Issue 138 benchmark reproduction.,frozen_issue_141,054d98774cd781b6d08091fab7d6331614c9b43fc937ac1bc52c4c29b310aa37,#151,modular_source_created
project_issue143_modern_spatial_continental_europe_shared_mem,config.yml,Configuration/Profiles/One_time/Issues/issue_143.yml,one_time,frozen,FALSE,issue_143_modern_spatial,project_issue138_modern_spatial_continental_europe_staged,2,Data/targets/issue143_validation/modern_continental_europe,R/02_Main_analyses/Run_issue143_modern_continental_europe_shared_mem.R,R/03_Supplementary_analyses/Testing/testthat/test-issue138-representative-validation.R,R/02_Main_analyses/Run_issue143_modern_continental_europe_shared_mem.R,#143,Archive only after the shared-MEM implementation no longer requires Issue 143 reproduction.,frozen_issue_141,e8b615af87d73c7591ad0bc56d1cdb773fcee8315ce8658121fc1cd43fc1448e,#151,modular_source_created
