spot_check_id,candidate_id,decision_id,taxon_name,trait_domain_name,proposed_action,proposed_scale_factor,source_decision_text,review_outcome,reviewer_note,reviewer,reviewed_at,evidence_reference
SC-11,0417a46a24aeae3d846fee70343b5d66c90374de86c3deac0ff0645193e57d49,7d7ae4d0401b285b41ab1641e13753cf644dfeaef9b774d22f3c60ee1d4a6d9a,Vaccinium uliginosum,Leaf nitrogen content per unit mass,scale,10,approve,approve,,project_owner,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
SC-12,2804b82d6e06968fd4d3dea20a7e53a2bb3d152cb655ae083e26c4bf94fdfaf1,22bad31a279893ba304c72530173ba30564e3c737c6743e4a978245738fc95e6,Pinus sylvestris,Leaf nitrogen content per unit mass,scale,10,approve,approve,,project_owner,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
SC-13,2863d8ee4a70e473cc9d64252062ae72b23720a0f3951a8e97c8f73fa198c899,14d0c618af3d14fc479b87223ca88fd6b1561a69fc536f706548183810bb9ab7,Quercus ilex,Leaf nitrogen content per unit mass,scale,10,approve,approve,,project_owner,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
SC-14,48a38041f8d58ce75add0ff3418b41fed26b08eac9a26e8e95b1adbf3782bd8c,76fd31718b70bceb83c0368783406f4e44d0b0ee2201b49ae08841c5b80ea855,Ammophila arenaria,Leaf nitrogen content per unit mass,scale,10,approve,approve,,project_owner,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
SC-15,a97e034677c820d3db380fa5b5bdd1b63dd3d4f82b6c0a10f356b45ffb2dd3e5,7eed1dc36121a6f7849a095210c92f38e87ec3d9400cdd2b4e8c5e13f684b2a5,Deschampsia cespitosa,Leaf nitrogen content per unit mass,scale,10,needs targeted review,needs_targeted_review,,project_owner,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
SC-16,c3069bc670d13df40395046e4f660d4c9a4fcd7b7657dffdd6f7bbffdada59bb,592615d216d1b2d231549e98d7a127f9a19508e11cd659e025c31cca5ec12a74,Trifolium campestre,Leaf nitrogen content per unit mass,scale,10,approve,approve,,project_owner,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
SC-17,dc875ebc4f107712701c4597c83688c3847d5f64627ac042339c8b2b88fa891c,f25a9c43b9006c206d273e6440a2a632511c1187cee423d23112a8a4315f3a64,Polygonum douglasii,Leaf nitrogen content per unit mass,scale,10,approve,approve,,project_owner,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
SC-18,49e0edd8500680b9c13b770c7ee4d7c933e7c4322507e0f3f4d18bdfbfd8cd3f,00e35290ecac27154ec17191f9301920a593451e7a651b38b4ea615f4c4c48c5,Poa sp,Plant heigh,scale,0.01,needs targeted review,needs_targeted_review,,project_owner,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
SC-19,b8e1636e137005afd72893bfc64c2af429d1b52b6238e7791fae046d55bcac07,8f3be98350af632969368490f7bc6596a1fd60dc1f2d5ad728124ae7b3db369e,Prunella vulgaris,Plant heigh,scale,0.01,needs targeted review (multiply by 0.1?),needs_targeted_review,Investigate whether the factor should be 0.1 instead of 0.01.,project_owner,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
SC-20,0011892fb37c2f26ebaf275e8b3030e32de2cb290fba3f0a085e9a9fd50090a0,449f70ae28cd7713325e32cf78d1bb300737c22617412d3ac15e2c888068e606,Rhododendron ferrugineum,Plant heigh,scale,0.01,needs targeted review,needs_targeted_review,,project_owner,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
SC-21,80d74fd22c1ddf8f8a48d6bcf066985297eb1d69140a3652cbdb3f1476cc4663,7151e62842ecd3ef13893ae8337b420839a49131525ce9290fac1456e42ffa58,ARCTOSTAPHYLOS UVA-URSI,Plant heigh,scale,0.01,aprrove,approve,Normalized the evident spelling error in the reviewed report.,project_owner,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
SC-22,a933e73a4f5e3807185daa8a3b4d02e4efb5291798f675a5e7e8171c5bc8e2b4,6972ae194995a10b6a59ce3ae9782e169278198554607a7474b649693e8fdd18,Erica carnea,Plant heigh,scale,0.01,reject,reject,,project_owner,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
SC-23,c97a7eafdec9a4f699eb54a9ac384d33d2c1ffd8d6a55e50467d248fdc1f0801,9c1a37255fbf9bfb5ad583b33be72e6218d579a282dfb0b955ca1af17092e675,Bupleurum falcatum,Plant heigh,scale,0.01,approve,approve,,project_owner,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
SC-24,afd285ab2f214138dc8c6a6f3ba73b689a39d30b93f6d2db26fb4e6746e653fe,965da49dbde123752d0f4ceb3289ec12acffa4ea1f49e888b5d107810aff390f,Betula papyrifera,Plant heigh,scale,0.1,approve,approve,,project_owner,2026-08-27,Outputs/Reports/Trait_corrections/raw/trait_review_programmatic_spot_check_report.md
