surface_type,current_name,intended_name,owning_issue,contract_scope,migration_status,compatibility_strategy,rebuild_policy
target,ft_groups_max_clustering,config_functional_type_group_count_max_clustering,#156,inactive_definition,approved_breaking_migration,no_alias,clean_rebuild
target,ft_groups_min_clustering,config_functional_type_group_count_min_clustering,#156,inactive_definition,approved_breaking_migration,no_alias,clean_rebuild
target,metric_ft_clustering,config_functional_type_distance_metric_clustering,#156,inactive_definition,approved_breaking_migration,no_alias,clean_rebuild
target,method_ft_clustering,config_functional_type_clustering_method,#156,inactive_definition,approved_breaking_migration,no_alias,clean_rebuild
target,dist_continent,data_functional_type_dissimilarity_continent,#156,inactive_definition,approved_breaking_migration,no_alias,clean_rebuild
target,hclust_continent,mod_functional_type_hierarchical_clustering_continent,#156,inactive_definition,approved_breaking_migration,no_alias,clean_rebuild
target,ft_groups_chosen_continent,n_functional_type_groups_selected_continent,#156,inactive_definition,approved_breaking_migration,no_alias,clean_rebuild
target,ft_result_continent,data_functional_type_classification_continent,#156,inactive_definition,approved_breaking_migration,no_alias,clean_rebuild
target,trait_qc_report,list_trait_quality_control_report,#156,frozen_non_cv,approved_breaking_migration,no_alias,clean_rebuild
target,trait_corrections_validated,data_trait_corrections_validated,#156,frozen_non_cv,approved_breaking_migration,no_alias,clean_rebuild
target,check_trait_taxa_classification,flag_trait_taxa_classification_validated,#156,frozen_non_cv,approved_breaking_migration,no_alias,clean_rebuild
target,trait_qc_report_classified,list_trait_quality_control_report_classified,#156,frozen_non_cv,approved_breaking_migration,no_alias,clean_rebuild
target,trait_corrections_classified_validated,data_trait_corrections_classified_validated,#156,frozen_non_cv,approved_breaking_migration,no_alias,clean_rebuild
result_field,model,vec_model_metrics,#156,evaluate_jsdm,approved_breaking_migration,no_alias,clean_rebuild
result_field,species,data_taxon_metrics,#156,evaluate_jsdm,approved_breaking_migration,no_alias,clean_rebuild
result_field,convergence,list_convergence_diagnostics,#156,evaluate_jsdm,approved_breaking_migration,no_alias,clean_rebuild
result_field,R2-McFadden,r2_mcfadden,#156,evaluate_jsdm,approved_breaking_migration,no_alias,clean_rebuild
result_field,R2-Nagelkerke,r2_nagelkerke,#156,evaluate_jsdm,approved_breaking_migration,no_alias,clean_rebuild
result_column,species,taxon_name,#156,evaluate_jsdm,approved_breaking_migration,no_alias,clean_rebuild
result_column,AUC,auc,#156,evaluate_jsdm,approved_breaking_migration,no_alias,clean_rebuild
result_column,Accuracy,accuracy,#156,evaluate_jsdm,approved_breaking_migration,no_alias,clean_rebuild
result_column,LogLoss,log_loss,#156,evaluate_jsdm,approved_breaking_migration,no_alias,clean_rebuild
result_column,RMSE,rmse,#156,evaluate_jsdm,approved_breaking_migration,no_alias,clean_rebuild
result_field,summary_by_domain,data_summary_by_domain,#156,trait_quality_control,approved_breaking_migration,no_alias,clean_rebuild
result_field,summary_by_domain_taxon,data_summary_by_domain_taxon,#156,trait_quality_control,approved_breaking_migration,no_alias,clean_rebuild
result_field,suspected_outlier_taxa_domain,vec_suspected_outlier_taxa_domain,#156,trait_quality_control,approved_breaking_migration,no_alias,clean_rebuild
result_field,suspected_outlier_taxa_taxon,vec_suspected_outlier_taxa_taxon,#156,trait_quality_control,approved_breaking_migration,no_alias,clean_rebuild
result_column,lwr_90,quantile_05,#156,trait_quality_control,approved_breaking_migration,no_alias,clean_rebuild
result_column,upr_90,quantile_95,#156,trait_quality_control,approved_breaking_migration,no_alias,clean_rebuild
result_column,IQR,iqr,#156,trait_quality_control,approved_breaking_migration,no_alias,clean_rebuild
result_column,n_suspected_outliers_taxon,n_suspected_outliers,#156,trait_quality_control,approved_breaking_migration,no_alias,clean_rebuild
artifact_stem,data_ft_classification_,data_functional_type_classification_,#156,functional_type_file,approved_breaking_migration,no_alias,clean_rebuild
artifact_stem,trait_qc_report_,trait_quality_control_report_,#156,trait_quality_control_file,approved_breaking_migration,no_alias,clean_rebuild
target,model_regularization_for_fit,model_regularization_for_fit,#141,public_or_frozen_cv,preserved,frozen_by_issue_141,clean_rebuild
target,model_evaluation_cross_validated,model_evaluation_cross_validated,#141,public_or_frozen_cv,preserved,frozen_by_issue_141,clean_rebuild
target,reference_model_formula,reference_model_formula,#141,public_or_frozen_cv,preserved,frozen_by_issue_141,clean_rebuild
target,scientific_reference_model_formula,scientific_reference_model_formula,#141,public_or_frozen_cv,preserved,frozen_by_issue_141,clean_rebuild
target,decomposition_model_formula,decomposition_model_formula,#141,public_or_frozen_cv,preserved,frozen_by_issue_141,clean_rebuild
