current_path,intended_path,classification,owning_issue,lifecycle_status,migration_status,caller_notes,documentation_notes
R/02_Main_analyses/02_Temporal_Paleo/05_Diagnose_temporal_continents.R,R/03_Supplementary_analyses/Diagnostics/Pipelines/Temporal/Paleo/diagnose_temporal_continents.R,diagnostic,#152,active,migrated,Active references use the intended path.,Path migration completed by #152.
R/02_Main_analyses/Run_CZ_paleo_cv_component_reference_gpu.R,R/03_Supplementary_analyses/Validation/Cross_validation/Reference_runs/run_cz_paleo_cv_component_reference_gpu.R,reference,#141,active,migrated,Active references use the intended path.,Path migration completed by #152.
R/02_Main_analyses/Run_CZ_paleo_cv_reference.R,R/03_Supplementary_analyses/Validation/Cross_validation/Reference_runs/run_cz_paleo_cv_reference.R,reference,#141,active,migrated,Active references use the intended path.,Path migration completed by #152.
R/02_Main_analyses/Run_CZ_paleo_cv_reference_gpu.R,R/03_Supplementary_analyses/Validation/Cross_validation/Reference_runs/run_cz_paleo_cv_reference_gpu.R,reference,#141,active,migrated,Active references use the intended path.,Path migration completed by #152.
R/02_Main_analyses/Run_CZ_paleo_cv_regularization_reference_gpu.R,R/03_Supplementary_analyses/Validation/Cross_validation/Reference_runs/run_cz_paleo_cv_regularization_reference_gpu.R,reference,#141,active,migrated,Active references use the intended path.,Path migration completed by #152.
R/02_Main_analyses/Run_CZ_paleo_cv_staged_reference_gpu.R,R/03_Supplementary_analyses/Validation/Cross_validation/Reference_runs/run_cz_paleo_cv_staged_reference_gpu.R,reference,#141,active,migrated,Active references use the intended path.,Path migration completed by #152.
R/02_Main_analyses/Run_CZ_test.R,R/03_Supplementary_analyses/Testing/Smoke/run_cz_pipelines.R,supplementary_or_processing,#152,active,migrated,Active references use the intended path.,Path migration completed by #152.
R/02_Main_analyses/Run_issue138_modern_continental_europe_staged.R,R/03_Supplementary_analyses/One_time/Issues/issue_138/run_modern_continental_europe_staged.R,issue_reproduction,#141,active,migrated,Active references use the intended path.,Path migration completed by #152.
R/02_Main_analyses/Run_issue138_paleo_continental_europe_staged.R,R/03_Supplementary_analyses/One_time/Issues/issue_138/run_paleo_continental_europe_staged.R,issue_reproduction,#141,active,migrated,Active references use the intended path.,Path migration completed by #152.
R/02_Main_analyses/Run_issue138_temporal_america_staged.R,R/03_Supplementary_analyses/One_time/Issues/issue_138/run_temporal_america_staged.R,issue_reproduction,#141,active,migrated,Active references use the intended path.,Path migration completed by #152.
R/02_Main_analyses/Run_issue138_temporal_asia_staged.R,R/03_Supplementary_analyses/One_time/Issues/issue_138/run_temporal_asia_staged.R,issue_reproduction,#141,active,migrated,Active references use the intended path.,Path migration completed by #152.
R/02_Main_analyses/Run_issue138_temporal_europe_staged.R,R/03_Supplementary_analyses/One_time/Issues/issue_138/run_temporal_europe_staged.R,issue_reproduction,#141,active,migrated,Active references use the intended path.,Path migration completed by #152.
R/02_Main_analyses/Run_issue143_modern_continental_europe_shared_mem.R,R/03_Supplementary_analyses/One_time/Issues/issue_143/run_modern_continental_europe_shared_mem.R,issue_reproduction,#141,active,migrated,Active references use the intended path.,Path migration completed by #152.
R/02_Main_analyses/Run_paleo_local_cv_decomposition_reference_gpu.R,R/03_Supplementary_analyses/Validation/Cross_validation/Reference_runs/run_paleo_local_cv_decomposition_reference_gpu.R,reference,#141,active,migrated,Active references use the intended path.,Path migration completed by #152.
R/02_Main_analyses/Run_paleo_local_cv_scientific_reference_gpu.R,R/03_Supplementary_analyses/Validation/Cross_validation/Reference_runs/run_paleo_local_cv_scientific_reference_gpu.R,reference,#141,active,migrated,Active references use the intended path.,Path migration completed by #152.
R/03_Supplementary_analyses/Age_uncertainty_exploration_2026-05-04.R,R/03_Supplementary_analyses/Age_uncertainty_exploration_2026-05-04.R,supplementary_or_processing,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Classification/Make_auxiliary_classification_table.R,R/03_Supplementary_analyses/Classification/Make_auxiliary_classification_table.R,supplementary_or_processing,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Documentation/Document_functions.R,R/03_Supplementary_analyses/Documentation/Document_functions.R,supplementary_or_processing,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Documentation/Render_all_documentation.R,R/03_Supplementary_analyses/Documentation/Render_all_documentation.R,supplementary_or_processing,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Documentation/Render_manuscript.R,R/03_Supplementary_analyses/Documentation/Render_manuscript.R,supplementary_or_processing,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Documentation/Render_website.R,R/03_Supplementary_analyses/Documentation/Render_website.R,supplementary_or_processing,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Documentation/Update_progress_visualisations.R,R/03_Supplementary_analyses/Documentation/Update_progress_visualisations.R,supplementary_or_processing,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Prediction/Predict_from_model.R,R/03_Supplementary_analyses/Prediction/Predict_from_model.R,supplementary_or_processing,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Prediction/Predict_on_full_grid.R,R/03_Supplementary_analyses/Prediction/Predict_on_full_grid.R,supplementary_or_processing,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Presentation/load_design_config.R,R/03_Supplementary_analyses/Presentation/load_design_config.R,supplementary_or_processing,#155,active,retired,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Presentation/palette_oracle.R,R/03_Supplementary_analyses/Presentation/palette_oracle.R,supplementary_or_processing,#155,active,retired,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Presentation/render_iavs_2026.R,Documentation/Presentations/IAVS_2026/R/render.R,supplementary_or_processing,#155,active,localized_to_presentation,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Presentation/theme_oracle.R,R/03_Supplementary_analyses/Presentation/theme_oracle.R,supplementary_or_processing,#155,active,retired,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/Estimate_test_coverage.R,R/03_Supplementary_analyses/Testing/Estimate_test_coverage.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/Run_tests.R,R/03_Supplementary_analyses/Testing/Run_tests.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-adapt_cross_validation_assignments.R,R/03_Supplementary_analyses/Testing/testthat/test-adapt_cross_validation_assignments.R,test,#141,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-add_age_column_from_rownames.R,R/03_Supplementary_analyses/Testing/testthat/Data/Samples/Identifiers/test-prepare_age_column_from_rownames.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-add_age_to_samples.R,R/03_Supplementary_analyses/Testing/testthat/Data/Time/Ages/test-join_sample_ages.R,test,#153,active,migrated,Active references use the intended path.,Path migration and semantic rename completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-add_dataset_name_column_from_rownames.R,R/03_Supplementary_analyses/Testing/testthat/Data/Samples/Identifiers/test-prepare_dataset_name_column_from_rownames.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-add_iqr_outlier_flag.R,R/03_Supplementary_analyses/Testing/testthat/Data/Traits/Quality_control/Outliers/test-flag_trait_outliers.R,test,#153,active,migrated,Active references use the intended path.,Path migration and semantic rename completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-aggregate_anova_components.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Variance_partitioning/Fractions/test-aggregate_jsdm_variance_components.R,test,#154,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/test-aggregate_colocated_community_records.R,R/03_Supplementary_analyses/Testing/testthat/Data/Community/Transformation/Modern_records/test-aggregate_colocated_community_records.R,test,#153,active,migrated,Active references use the intended path.,Path migration completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-aggregate_sjsdm_tuning_by_tier.R,R/03_Supplementary_analyses/Testing/testthat/test-aggregate_sjsdm_tuning_by_tier.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-aggregate_trait_values.R,R/03_Supplementary_analyses/Testing/testthat/Data/Traits/Transformation/Aggregation/test-aggregate_trait_values.R,test,#153,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-align_sample_ids.R,R/03_Supplementary_analyses/Testing/testthat/Data/Samples/Alignment/test-align_sample_ids.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-append_missing_taxa_to_template.R,R/03_Supplementary_analyses/Testing/testthat/Data/Community/Classification/Reference_tables/test-save_missing_taxa_template.R,test,#153,active,migrated,Active references use the intended path.,Path migration completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-apply_scale_attributes.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Fit_inputs/test-scale_predictors_with_training_attributes.R,test,#154,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/test-apply_trait_corrections.R,R/03_Supplementary_analyses/Testing/testthat/Data/Traits/Transformation/Record_corrections/test-correct_trait_records.R,test,#153,active,migrated,Active references use the intended path.,Path migration and semantic rename completed by #153.
,R/03_Supplementary_analyses/Testing/testthat/Data/Traits/Ingest/Manual_corrections/test-load_trait_corrections.R,test,#153,active,migrated,New focused test mirrors the extracted loader.,Loader test introduced by #153.
R/03_Supplementary_analyses/Testing/testthat/test-assemble_data_to_fit.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Fit_inputs/test-build_jsdm_fit_input.R,test,#154,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/test-assemble_sjsdm_cached_selected_folds.R,R/03_Supplementary_analyses/Testing/testthat/test-assemble_sjsdm_cached_selected_folds.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-assert_prediction_probabilities.R,R/03_Supplementary_analyses/Testing/testthat/Prediction/Inference/test-validate_prediction_probabilities.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-assess_cross_validation_feasibility.R,R/03_Supplementary_analyses/Testing/testthat/test-assess_cross_validation_feasibility.R,test,#141,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-assess_sjsdm_candidate_guardrails.R,R/03_Supplementary_analyses/Testing/testthat/test-assess_sjsdm_candidate_guardrails.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-assess_sjsdm_scientific_performance.R,R/03_Supplementary_analyses/Testing/testthat/test-assess_sjsdm_scientific_performance.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-assess_sjsdm_staged_benchmark.R,R/03_Supplementary_analyses/Testing/testthat/test-assess_sjsdm_staged_benchmark.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-assess_sjsdm_taxon_eligibility.R,R/03_Supplementary_analyses/Testing/testthat/test-assess_sjsdm_taxon_eligibility.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-assess_spatial_mev_paired_benchmark.R,R/03_Supplementary_analyses/Testing/testthat/test-assess_spatial_mev_paired_benchmark.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-binarize_community_data.R,R/03_Supplementary_analyses/Testing/testthat/Data/Community/Transformation/Data_shape/test-compute_community_presence_absence.R,test,#153,active,migrated,Active references use the intended path.,Path migration and semantic rename completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-build_community_taxon_trait_table.R,R/03_Supplementary_analyses/Testing/testthat/Data/Traits/Transformation/Community_alignment/test-build_community_taxon_trait_table.R,test,#153,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-build_land_prediction_grid.R,R/03_Supplementary_analyses/Testing/testthat/Prediction/Grids/test-build_land_prediction_grid.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-build_map_panel.R,R/03_Supplementary_analyses/Testing/testthat/Visualisation/Maps/Panels/test-plot_spatial_anova_map_panel.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-build_prediction_frame.R,R/03_Supplementary_analyses/Testing/testthat/Presentation/IAVS/test-build_prediction_frame.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_common_regularization_artifact.R,R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_common_regularization_artifact.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_common_regularization_artifacts.R,R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_common_regularization_artifacts.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_cumulative_tuning_work_items.R,R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_cumulative_tuning_work_items.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_tier_survivor_artifacts.R,R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_tier_survivor_artifacts.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_tier_tuning_artifact.R,R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_tier_tuning_artifact.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_tier_tuning_artifacts.R,R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_tier_tuning_artifacts.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_tuning_schedule.R,R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_tuning_schedule.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_tuning_work_items.R,R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_tuning_work_items.R,test,#155,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-build_spatial_model_store_index.R,R/03_Supplementary_analyses/Testing/testthat/Pipeline/Stores/Spatial_models/test-build_spatial_model_store_index.R,test,#154,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-build_spatial_unit_frame.R,R/03_Supplementary_analyses/Testing/testthat/Presentation/IAVS/test-build_spatial_unit_frame.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-build_temporal_trajectory_frame.R,R/03_Supplementary_analyses/Testing/testthat/Presentation/IAVS/test-build_temporal_trajectory_frame.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-build_temporal_trajectory_legend.R,R/03_Supplementary_analyses/Testing/testthat/Presentation/IAVS/test-build_temporal_trajectory_legend.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-build_vegvault_plan.R,R/03_Supplementary_analyses/Testing/testthat/test-build_vegvault_plan.R,test,#155,active,migrated,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-calibrate_cross_validation_grid_from_resolution.R,R/03_Supplementary_analyses/Testing/testthat/test-calibrate_cross_validation_grid_from_resolution.R,test,#141,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-calibrate_cross_validation_grid_size.R,R/03_Supplementary_analyses/Testing/testthat/test-calibrate_cross_validation_grid_size.R,test,#141,active,baseline_recorded,Refresh static references before an approved move.,Update generated references in the owning issue.
R/03_Supplementary_analyses/Testing/testthat/test-check_abiotic_interpolation_contract.R,R/03_Supplementary_analyses/Testing/testthat/Data/Abiotic/Validation/test-validate_abiotic_interpolation_contract.R,test,#153,active,migrated,Active references use the intended path.,Path migration completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-check_and_report_missing_taxa.R,R/03_Supplementary_analyses/Testing/testthat/Data/Community/Classification/Reference_tables/test-validate_taxa_classification_coverage.R,test,#153,active,migrated,Active references use the intended path.,Path migration completed by #153.
R/03_Supplementary_analyses/Testing/testthat/test-check_convergence_jsdm.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Fitting/Diagnostics/test-diagnose_jsdm_convergence.R,test,#154,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/Modelling/Fitting/Internal/test-build_sjsdm_predictor_structure.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Fitting/Internal/test-build_sjsdm_predictor_structure.R,test,#154,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/Modelling/Fitting/Internal/test-prepare_sjsdm_response.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Fitting/Internal/test-prepare_sjsdm_response.R,test,#154,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/Modelling/Fitting/Internal/test-resolve_sjsdm_device.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Fitting/Internal/test-resolve_sjsdm_device.R,test,#154,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/Modelling/Fitting/Internal/test-resolve_sjsdm_early_stopping.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Fitting/Internal/test-resolve_sjsdm_early_stopping.R,test,#154,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
R/03_Supplementary_analyses/Testing/testthat/Modelling/Fitting/Runtime/test-diagnose_sjsdm_gpu_runtime.R,R/03_Supplementary_analyses/Testing/testthat/Modelling/Fitting/Runtime/test-diagnose_sjsdm_gpu_runtime.R,test,#154,active,migrated,Test discovery is recursive; active references use the mirrored path.,Mirrors the owning non-CV modelling function capability.
